product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,Fit,Composition,Material
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,007,Slim fit,"Shell: Cotton 99%, Spandex 1%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,008,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,008,Slim fit,"Shell: Cotton 99%, Spandex 1%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,001,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,001,Slim fit,"Shell: Cotton 99%, Spandex 1%",Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,001,Slim fit,Pocket lining: Cotton 100%,Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,002,Slim fit,Pocket lining: Cotton 100%,Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,003,Slim fit,Pocket lining: Cotton 100%,Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,004,Slim fit,Pocket lining: Cotton 100%,Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,005,Slim fit,Pocket lining: Cotton 100%,Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,007,Slim fit,Pocket lining: Cotton 100%,Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,008,Slim fit,Pocket lining: Cotton 100%,Denim
1024256001,men_jeans_slim,Slim Jeans,$ 19.99,2022-03-29 21:51:23,1024256,006,Slim fit,Pocket lining: Cotton 100%,Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,001,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,001,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,002,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,002,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,006,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,006,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,007,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,007,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,009,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,009,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,011,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,011,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,013,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,013,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,021,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,021,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,022,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,022,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,024,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,024,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,028,Skinny fit,"Cotton 98%, Spandex 2%",keyFibreType
0690449022,men_jeans_ripped,Skinny Jeans,$ 39.99,2022-03-29 21:51:23,0690449,028,Skinny fit,"Pocket lining: Polyester 65%, Cotton 35%",Denim
